serial_attacking,player_name,club,position,assists_attacking,corner_taken_attacking,offsides_attacking,dribbles_attacking,match_played_attacking,serial_attempts,total_attempts_attempts,on_target_attempts,off_target_attempts,blocked_attempts,match_played_attempts,serial_goals,goals_goals,right_foot_goals,left_foot_goals,headers_goals,others_goals,inside_area_goals,outside_areas_goals,penalties_goals,match_played_goals,serial_disciplinary,fouls_committed_disciplinary,fouls_suffered_disciplinary,red_disciplinary,yellow_disciplinary,minutes_played_disciplinary,match_played_disciplinary,minutes_played_key_stats,match_played_key_stats,goals_key_stats,assists_key_stats,distance_covered_key_stats,cluster_offensive
,Carrasco,Atlético,Forward,,,,,,153.0,6.0,2.0,1.0,3.0,7.0,,,,,,,,,,,491.0,1.0,7.0,0.0,1.0,472.0,7.0,472.0,7.0,0.0,0.0,60.1,0
,Carson,Man. City,Goalkeeper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,1.0,0.0,0.0,1.1,3
64.0,Carvajal,Real Madrid,Defender,1.0,0.0,1.0,9.0,11.0,179.0,5.0,2.0,3.0,0.0,11.0,,,,,,,,,,,16.0,15.0,6.0,3.0,0.0,959.0,11.0,959.0,11.0,0.0,1.0,112.8,0
,Casemiro,Real Madrid,Midfielder,,,,,,80.0,10.0,2.0,6.0,2.0,11.0,,,,,,,,,,,6.0,17.0,18.0,3.0,0.0,914.0,11.0,914.0,11.0,0.0,0.0,107.6,0
,Castañeda,Sheriff,Midfielder,,,,,,219.0,4.0,2.0,1.0,1.0,5.0,,,,,,,,,,,201.0,5.0,5.0,0.0,0.0,357.0,5.0,357.0,5.0,0.0,0.0,45.5,3
,Casteels,Wolfsburg,Goalkeeper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450.0,5.0,0.0,0.0,30.8,3
,Cavani,Man. United,Forward,,,,,,440.0,1.0,0.0,1.0,0.0,4.0,,,,,,,,,,,417.0,2.0,1.0,1.0,0.0,75.0,4.0,75.0,4.0,0.0,0.0,11.7,3
,Ceballos,Real Madrid,Midfielder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.0,5.0,0.0,0.0,7.8,3
,Celeadnic,Sheriff,Goalkeeper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,1.0,0.0,0.0,4.7,3
,Chalobah,Chelsea,Defender,,,,,,277.0,3.0,1.0,2.0,0.0,3.0,73.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,326.0,3.0,0.0,1.0,0.0,175.0,3.0,175.0,3.0,1.0,0.0,20.4,3
,Chiellini,Juventus,Defender,,,,,,,,,,,,,,,,,,,,,,491.0,1.0,0.0,0.0,0.0,7.0,1.0,7.0,1.0,0.0,0.0,1.3,3
,Chiesa,Juventus,Forward,,,,,,44.0,13.0,4.0,8.0,1.0,4.0,43.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,4.0,201.0,5.0,11.0,0.0,0.0,336.0,4.0,336.0,4.0,2.0,0.0,37.5,2
,Chilwell,Chelsea,Defender,,,,,,113.0,8.0,1.0,6.0,1.0,4.0,,,,,,,,,,,417.0,2.0,1.0,0.0,0.0,188.0,4.0,188.0,4.0,0.0,0.0,23.3,3
